status,xa1,xa2,xb1,xb2,xc1,xc2,xd1,xd2
straight,145,641,71,555,32,438,-1,474
straight,125,641,75,641,34,449,-1,472
straight,156,641,80,641,37,434,-1,471
straight,152,641,79,641,37,438,-1,487
straight,148,641,77,641,34,454,-1,472
straight,143,641,74,641,33,641,-1,489
straight,145,641,78,641,36,641,-1,470
straight,139,641,77,641,35,641,-1,472
straight,141,641,77,641,35,641,-1,472
straight,144,641,79,641,36,641,-1,483
straight,140,641,79,641,36,641,-1,479
straight,143,641,80,641,39,641,-1,641
straight,147,641,84,641,42,641,-1,641
straight,142,641,82,641,41,641,-1,641
straight,138,641,80,641,40,641,-1,641
straight,145,641,84,641,43,641,-1,641
straight,142,641,83,641,43,641,-1,641
straight,142,641,82,641,43,641,-1,641
straight,144,641,84,641,45,641,-1,641
straight,147,641,87,641,48,641,-1,641
right,155,641,91,641,53,641,-1,641
right,154,641,91,641,53,641,-1,641
right,155,641,93,584,55,641,-1,641
right,150,641,90,415,52,641,-1,641
right,129,641,88,376,46,641,-1,641
right,123,641,10,418,30,641,-1,641
right,109,641,1,567,20,641,-1,641
right,75,641,-1,474,154,641,-1,641
right,47,641,-1,425,169,641,-1,641
right,-1,641,-1,374,186,641,-1,641
right,-1,641,-1,363,210,641,-1,641
right,-1,641,-1,347,254,641,4,641
right,-1,641,-1,332,229,641,35,641
right,-1,641,313,333,225,641,54,641
right,-1,641,300,320,224,641,71,641
right,-1,641,286,641,218,641,105,641
right,-1,641,260,641,200,641,85,641
straight,-1,424,233,641,179,639,77,641
straight,-1,373,214,641,165,596,71,620
straight,319,344,212,641,146,578,77,586
straight,310,641,176,641,135,534,54,560
straight,-1,641,171,641,132,538,53,556
straight,-1,641,170,641,134,519,57,552
straight,-1,641,166,641,130,522,57,554
right,-1,641,180,641,132,641,61,555
right,-1,641,164,641,127,641,59,555
right,-1,641,164,641,127,641,61,554
straight,-1,641,176,641,124,641,59,546
straight,-1,641,160,641,104,641,58,535
straight,-1,641,134,641,102,641,23,509
straight,-1,641,99,641,67,641,7,641
straight,-1,641,96,641,64,641,3,641
straight,-1,641,94,641,61,641,1,641
straight,-1,641,85,641,53,641,6,641
straight,-1,641,83,641,51,641,4,641
straight,-1,641,85,641,53,641,4,641
straight,-1,641,84,641,53,641,3,641
straight,-1,641,88,641,57,641,6,641
straight,-1,641,89,641,57,641,6,641
right,-1,641,89,320,56,641,4,641
right,-1,641,83,514,49,641,0,641
right,-1,641,-1,584,46,641,-1,641
right,-1,641,-1,639,50,641,-1,641
right,-1,641,-1,608,285,641,-1,641
right,-1,641,-1,507,232,320,-1,641
right,-1,641,-1,454,275,320,0,641
right,-1,641,-1,418,280,320,62,641
right,-1,639,-1,396,285,320,112,641
right,-1,641,-1,359,270,641,99,641
right,-1,641,-1,329,255,641,111,641
right,-1,508,312,333,248,641,119,641
right,-1,641,284,523,232,641,120,641
right,-1,436,262,500,236,641,112,641
right,-1,369,256,488,210,641,100,641
right,-1,330,206,468,166,641,86,641
right,313,641,181,422,162,641,72,641
